community_area,n_properties,median_age,mean_age,pct_masonry,pct_wood,pct_shingle_roof,pct_above_avg_repair,pct_below_avg_repair,mean_bldg_sf
Austin,16487,98.0,96.7,51.4,41.8,79.0,0.2,1.1,1981.3
Portage Park,13574,95.0,89.1,53.0,35.7,91.4,0.2,0.4,1769.7
Roseland,12486,78.0,83.2,55.2,38.1,92.7,0.1,0.3,1394.0
Ashburn,12244,63.0,61.9,71.0,14.0,97.7,0.0,0.0,1236.2
Belmont Cragin,12235,93.0,88.4,59.1,29.9,88.9,0.1,0.3,1722.2
Norwood Park,12115,68.0,71.2,65.0,21.0,97.3,0.2,0.3,1513.1
Dunning,11682,71.0,73.8,59.0,29.9,96.7,0.2,0.3,1445.4
Garfield Ridge,10982,63.0,63.2,57.3,31.3,96.8,0.0,0.1,1275.2
Auburn Gresham,10940,93.0,87.3,66.6,26.6,84.9,0.1,0.4,1687.9
West Town,10312,120.0,95.9,72.2,19.7,45.7,0.8,2.7,2845.3
Logan Square,10153,115.0,100.2,52.3,40.8,65.4,1.2,2.1,2419.2
Chicago Lawn,10040,94.0,87.3,72.0,21.5,90.3,0.1,0.3,1593.7
West Pullman,9078,68.0,78.6,40.4,45.6,94.2,0.0,0.4,1260.8
Irving Park,8908,105.0,93.4,37.1,54.8,82.6,0.3,0.5,2025.8
West Ridge,8584,71.0,76.9,83.4,6.5,72.9,0.7,0.4,2331.9
Washington Heights,8490,71.0,74.9,55.9,33.4,93.5,0.1,0.2,1344.1
South Lawndale,8464,115.0,112.3,50.5,41.9,80.6,0.2,1.0,1901.5
Humboldt Park,8276,110.0,104.4,51.7,41.7,71.6,0.5,1.8,2027.4
West Englewood,8121,105.0,98.6,37.6,56.3,87.0,0.3,1.7,1464.6
West Lawn,7356,67.0,72.8,72.5,19.3,97.3,0.1,0.1,1283.2
New City,7252,118.0,106.5,28.8,64.3,84.6,0.2,1.8,1871.2
Morgan Park,7127,69.0,73.1,53.8,30.2,95.9,0.1,0.3,1419.6
Brighton Park,7036,100.0,94.4,45.5,50.2,91.1,0.1,0.5,1720.5
Chatham,6998,88.0,79.5,78.2,11.6,83.6,0.0,0.6,1836.4
Jefferson Park,6813,87.0,78.4,58.8,31.6,94.2,0.2,0.3,1642.1
Bridgeport,6807,125.0,90.8,72.2,19.2,78.5,0.7,0.6,2096.4
Beverly,6729,81.0,83.2,64.0,19.4,91.3,0.2,0.3,1841.8
Forest Glen,6656,68.0,68.5,64.9,16.3,95.6,0.6,0.2,1802.8
Lake View,6548,115.0,90.6,56.3,38.4,49.4,5.1,1.5,2985.2
Mount Greenwood,6481,66.0,65.5,53.2,28.3,98.7,0.1,0.2,1307.6
Clearing,6456,61.0,62.6,71.9,16.2,97.2,0.0,0.2,1304.6
South Chicago,6431,97.0,97.0,52.1,39.5,87.9,0.1,0.9,1817.9
Lincoln Park,6406,112.0,81.2,75.5,17.0,38.4,11.3,0.9,3141.2
Gage Park,6351,94.0,91.8,61.5,30.3,92.5,0.1,0.3,1480.6
Greater Grand Crossing,6294,104.0,101.1,69.5,21.9,76.7,0.1,0.7,1955.6
North Center,6167,108.0,86.8,41.7,51.1,65.5,1.8,0.6,2438.4
East Side,5781,75.0,84.3,56.4,32.6,94.3,0.3,0.4,1361.0
South Shore,5741,100.0,95.1,76.3,14.1,66.1,0.2,1.8,2622.7
Albany Park,5738,99.0,95.1,58.2,31.2,78.4,0.2,0.2,2147.9
Avondale,5728,110.0,98.9,44.0,49.8,78.0,0.3,0.6,2113.1
Englewood,5293,120.0,111.5,40.4,53.9,77.9,0.2,1.8,2007.9
Calumet Heights,5016,65.0,71.1,81.3,9.5,93.4,0.1,0.3,1419.8
North Lawndale,4886,110.0,97.6,65.1,30.6,58.5,0.1,1.4,2534.9
Lincoln Square,4756,102.0,90.4,58.3,35.4,67.7,0.8,0.9,2512.5
