,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1,Albany Park,140601,104,252,2.86,33.383,11.737,5.749,0.387,105,ALBANY PARK
2,Albany Park,140601,98,130,2.01,11.821,2.602,0.988,0.032,115,ALBANY PARK
3,Albany Park,140601,112,130,2.01,11.821,2.602,0.988,0.032,NA,ALBANY PARK
4,Albany Park,140601,69,98,1.78,7.455,1.385,0.481,0.012,64,ALBANY PARK
5,Albany Park,140601,120,615,5.22,80.214,53.602,38.304,8.313,115,ALBANY PARK
6,Albany Park,140602,NA,282,3.07,38.891,14.893,7.651,0.594,NA,ALBANY PARK
7,Albany Park,140602,115,51,1.43,2.887,0.395,0.117,0.002,57,ALBANY PARK
8,Albany Park,140602,109,259,2.91,34.68,12.449,6.169,0.43,110,ALBANY PARK
9,Albany Park,140602,108,42,1.37,2.286,0.292,0.083,0.001,104,ALBANY PARK
10,Albany Park,140602,94,287,3.1,39.793,15.444,7.994,0.634,NA,ALBANY PARK
11,Albany Park,140200,108,121,1.94,10.504,2.21,0.819,0.024,NA,ALBANY PARK
12,Albany Park,140200,109,181,2.37,20.277,5.584,2.393,0.109,104,ALBANY PARK
13,Albany Park,140200,66,171,2.3,18.514,4.898,2.054,0.088,59,ALBANY PARK
14,Albany Park,140200,81,64,1.53,3.912,0.587,0.182,0.003,102,ALBANY PARK
15,Albany Park,140200,NA,79,1.64,5.324,0.882,0.288,0.006,NA,ALBANY PARK
16,Albany Park,140302,45,120,1.93,10.361,2.169,0.802,0.024,40,ALBANY PARK
17,Albany Park,140302,63,97,1.77,7.333,1.354,0.469,0.011,58,ALBANY PARK
18,Albany Park,140302,NA,264,2.94,35.603,12.967,6.478,0.462,NA,ALBANY PARK
19,Albany Park,140302,104,177,2.34,19.567,5.304,2.254,0.1,NA,ALBANY PARK
20,Albany Park,140302,112,59,1.49,3.496,0.507,0.154,0.003,97,ALBANY PARK
21,Albany Park,140400,60,134,2.03,12.427,2.789,1.07,0.035,55,ALBANY PARK
22,Albany Park,140400,100,82,1.66,5.635,0.951,0.314,0.007,95,ALBANY PARK
23,Albany Park,140400,100,110,1.86,8.985,1.784,0.642,0.017,90,ALBANY PARK
24,Albany Park,140400,68,108,1.85,8.721,1.713,0.612,0.016,63,ALBANY PARK
25,Albany Park,140400,97,196,2.47,22.984,6.703,2.964,0.147,92,ALBANY PARK
26,Albany Park,140800,110,456,4.22,65.407,35.848,22.649,3.308,105,ALBANY PARK
27,Albany Park,140800,104,380,3.72,55.191,26.488,15.474,1.773,104,ALBANY PARK
28,Albany Park,140800,100,249,2.84,32.825,11.437,5.574,0.37,95,ALBANY PARK
